"filename", "language", "JSON", "HTML", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\README.md", "Markdown", 0, 0, 0, 0, 0, 88, 0, 32, 120
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\package-lock.json", "JSON", 1632, 0, 0, 0, 0, 0, 0, 1, 1633
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\app.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\config\mongodb.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\data\store.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\middleware\auth.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 12, 53
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\middleware\validate.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\email-subscription.model.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\league.model.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\match.model.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 6, 152
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\player.model.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 3, 68
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\season-team.model.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\season.model.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\team.model.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\models\user.model.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 4, 51
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\auth.routes.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 40, 213
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\email-subscriptions.routes.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\leagues.routes.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\matches.routes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\matches\fixtures.routes.js", "JavaScript", 0, 0, 410, 0, 0, 0, 0, 76, 486
"c:\Users\ranwa\Desktop\Uni\FINAL\cloud\BallerLeague\ballerleague-server\src\routes\api\matches\geocode.routes.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 16, 119
